"Data","Dzień tygodnia","Wspomnienie","Sigla"
"2023-09-03","Niedziela","XXII NIEDZIELA ZWYKŁA
Św. Grzegorza Wielkiego, Papieża I Doktora Kościoła
","Jr 20,7-9, Ps 63,2-6.8-9, Rz 12,1-2, Mt 16,21-27"
"2023-09-04","Poniedziałek","
Błogosławionych Dziewic I Męczennic Marii Stelli I Towarzyszek
","1 Tes 4,13-18, Ps 96,1.3-5.11-13, Łk 4,16-30"
"2023-09-05","Wtorek","

","1 Tes 5,1-6.9-11, Ps 27,1.4.13-14, Łk 4,31-37"
"2023-09-06","Środa","

","Kol 1,1-8, Ps 52,10-11, Łk 4,38-44"
"2023-09-07","Czwartek","
Św. Melchiora Grodzieckiego, Prezbitera I Męczennika
","Kol 1,9-14, Ps 98,2-6, Łk 5,1-11"
"2023-09-08","Piątek","Święto Narodzenia Najświętszej Maryi Panny
Narodzenie Najśw. Maryi Panny
","Mi 5,1-4a, Ps 96,1-2.11-13, Rz 8,28-30, Mt 1,1-16.18-23"
"2023-09-09","Sobota","
Bł. Anieli Salawy, Dziewicy
","Kol 1,21-23, Ps 54,3-4.6.8, Łk 6,1-5"
"2023-09-10","Niedziela","XXIII NIEDZIELA ZWYKŁA

","Ez 33,7-9, Ps 95,1-2.6-9, Rz 13,8-10, Mt 18,15-20"
"2023-09-11","Poniedziałek","

","Kol 1,24-2,3, Ps 62,6-7,9, Łk 6,6-11"
"2023-09-12","Wtorek","
Najśw. Imienia Maryi
","Kol 2,6-15, Ps 145,1-2.8-11, Łk 6,12-19"
"2023-09-13","Środa","
Św. Jana Chryzostoma, Biskupa I Doktora Kościoła
","Kol 3,1-11, Ps 145,2-3.10-13, Łk 6,20-26"
"2023-09-14","Czwartek","Święto Podwyższenia Krzyża Świętego
Podwyższenie Krzyża Świętego
","Lb 21,4b-9, Flp 2,6-11, J 3,13-17"
"2023-09-15","Piątek","Wspomnienie Najświętszej Maryi Panny Bolesnej
Najśw. Maryi Panny Bolesnej
","Hbr 5,7-9, Ps 31,2-6.15-16.20, J 19,25-27 lub Łk 2,33-35, 1 Tm 1,1-2.12-14, Ps 16,1-2a.5.7-8.11, Łk 6,39-42"
"2023-09-16","Sobota","
Świętych Męczenników Korneliusza, Papieża, I Cypriana, Biskupa
","1 Tm 1,15-17, Ps 113,1-7, Łk 6,43-49"
"2023-09-17","Niedziela","XXIV NIEDZIELA ZWYKŁA
Św. Roberta Bellarmina, Biskupa I Doktora Kościoła
","Syr 27,30-28,7, Ps 103,1-4.9-12, Rz 14,7-9, Mt 18,21-35"
"2023-09-18","Poniedziałek","Święto świętego Stanisława Kostki, zakonnika, patrona Polski
Św. Stanisława Kostki, Zakonnika, Patrona Polski
","Iz 55,6-9, Ps 145,2-3.8-9.17-18, Flp 1,20c-24.27a, Mt 20,1-16a"
"2023-09-19","Wtorek","
Św. Januarego, Biskupa I Męczennika
","1 Tm,1-13, Ps 101,1-3.5-6, Łk 7,11-17"
"2023-09-20","Środa","
Świętych Męczenników Andrzeja Kim Taegon, Prezbitera, Pawła Chong Hasang I Towarzyszy
","1 Tm 3,14-16, Ps 111, Łk 7,31-35"
"2023-09-21","Czwartek","Święto św. Mateusza, Apostoła i Ewangelisty
Św. Mateusza, Apostoła I Ewangelisty
","Ef 4,1-7.11-13, Ps 19,2-5, Mt 9,9-13"
"2023-09-22","Piątek","
W Diecezji Siedleckiej:: Rocznica Poświęcenia Kościoła Katedralnego W Siedlcach
","1 Tm 6,2c-12, Ps 49,6-10.17-20, Łk 8,1-3"
"2023-09-23","Sobota","
Św. Pio Z Pietrelciny
","1Tm 6,13-16, Ps 100,1-5, Łk 8,4-15"
"2023-09-24","Niedziela","XXV NIEDZIELA ZWYKŁA
W Diecezji Bielsko-Żywieckiej:: Rocznica Poświęcenia Kościoła Katedralnego W Bielsku Białej
","Iz 55,6-9, Ps 145,2-3.8-9.17-18, Flp 1,20c-24.27a, Mt 20,1-16a"
"2023-09-25","Poniedziałek","
Bł. Władysława Z Gielniowa, Prezbitera
","Ezd 1,1-6, Ps 126,1-6, Łk 8,16-18"
"2023-09-26","Wtorek","
Świętych Męczenników Kosmy I Damiana
","Ezd 6,7-8.12b.14-20, Ps 122,1-2.4-5, Łk 8,19-21"
"2023-09-27","Środa","
Św. Wincentego A Paulo, Prezbitera
","Ezd 9,5-9, Tb 13,2-4.7-8, Łk 9,1-6"
"2023-09-28","Czwartek","
Św. Wacława, Męczennika
","Ag 1,1-8, Ps 149,1-6.9, Łk 9,7-9"
"2023-09-29","Piątek","Święto świętych Archaniołów Michała, Gabriela i Rafała
Świętych Archaniołów Michała, Gabriela I Rafała
","Dn 7,9-10.13-14 lub Ap 12,7-12a, Ps 138,1-5, J 1,47-51"
"2023-09-30","Sobota","
Św. Hieronima, Prezbitera I Doktora Kościoła
","Za 2,5-9.14-15a, Jr 31,10-13, Łk 9,43b-45"
"2023-10-01","Niedziela","XXVI NIEDZIELA ZWYKŁA
Św. Teresy Od Dzieciątka Jezus, Dziewicy I Doktora Kościoła
","Ez 18,25-28, Ps 25,4-9, Flp 2,1-11, Mt 21,28-32"
"2023-10-02","Poniedziałek","
Świętych Aniołów Stróżów
","Za 8,1-8, Ps 102,16-21.29.21-23, Łk 9,46-50"
"2023-10-03","Wtorek","
W Diecezji Warszawsko-Praskiej:: Świętych Archaniołów Michała, Gabriela I Rafała
w diecezji warszawsko-praskiej: Świętych Archaniołów Michała, Gabriela I Rafała","Za 8,20-23, Ps 87,2-7, Łk 9,51-56"
"2023-10-04","Środa","
Św. Franciszka Z Asyżu
","Ne 2,1-8, Ps 137,1-6, Łk 9,57-62"
"2023-10-05","Czwartek","
Św. Faustyny Kowalskiej, Zakonnicy
","Ne 8,1-4a.5-6.7b-12, Ps 19,8-11, Łk 10,1-12"
"2023-10-06","Piątek","
Św. Brunona, Prezbitera
","Ba 1,15-22, Ps 79,1-5.8-9, Łk 10,13-16"
"2023-10-07","Sobota","
Najśw. Maryi Panny Różańcowej
","Ba 4,5-12.27-29, Ps 69,33-37, Łk 10,17-24"
"2023-10-08","Niedziela","XXVII NIEDZIELA ZWYKŁA

","Iz 5,1-7, Ps 80,9.12-16.19-20, Flp 4,6-9, Mt 21,33-43"
"2023-10-09","Poniedziałek","
Bł. Wincentego Kadłubka, Biskupa
","Jon 1,1-2.11, Jon 2,3-5.8, Łk 10,25-37"
"2023-10-10","Wtorek","
Bł. Marii Angeli Truszkowskiej, Dziewicy
","Jon 3,1-10, Ps 130,1-4.7-8, Łk 10,38-42"
"2023-10-11","Środa","

","Jon 4,1-11, Ps 86,3-6.9-10, Łk 11,1-4"
"2023-10-12","Czwartek","
W Archidiecezji Poznańskiej:: Rocznica Poświęcenia Kościoła Katedralnego W Poznaniu
","Ml 3,13-20a, Ps 1,1-4.6, Łk 11,5-13"
"2023-10-13","Piątek","
Bł. Honorata Koźmińskiego, Prezbitera
","Jl 1,13-15.2,1-2, Ps 9,2-3.6.16.8-9, Łk 11,15-26"
"2023-10-14","Sobota","
Św. Kaliksta I, Papieża I Męczennika
","Jl 4,12-21, Ps 97,1-2.5-6.11-12, Łk 11,27-28"
"2023-10-15","Niedziela","XXVIII NIEDZIELA ZWYKŁA
Św. Teresy Od Jezusa, Dziewicy I Doktora Kościoła
","Iz 25,6-10a, Ps 23,1-6, Flp 4,12-14,19-20, Mt 22,1-14"
"2023-10-16","Poniedziałek","
Św. Jadwigi Śląskiej
","Rz 1,1-7, Ps 98,1-4, Łk 11,29-32"
"2023-10-17","Wtorek","
Św. Ignacego Antiocheńskiego, Biskupa I Męczennika
","Rz 1,16-25, Ps 19,2-5, Łk 11,37-41"
"2023-10-18","Środa","Święto św. Łukasza, Ewangelisty
Św. Łukasza, Ewangelisty
","2 Tm 4,9-17a, Ps 145,10-13.17-18, Łk 10,1-9"
"2023-10-19","Czwartek","
Świętych Męczenników Jana De Brebeuf, Izaaka Joguesa, Prezbiterów, Oraz Towarzyszy
","Rz 3,21-29, Ps 130,1-6,  Łk 11,47-54"
"2023-10-20","Piątek","
Św. Jana Kantego, Prezbitera
","Rz 4,1-8, Ps 32,1-2.5.11, Łk 12,1-7"
"2023-10-21","Sobota","
Bł. Jakuba Strzemię
","Rz 4,13.16-18, Ps 105,6-9.42-43, Łk 12,8-12"
"2023-10-22","Niedziela","XXIX NIEDZIELA ZWYKŁA
W Archidiecezji Gnieźnieńskiej: Przeniesienie Relikwii Św. Wojciecha
","Iz 45,1.4-6, Ps 96,1.3-5.7-10ac, 1 Tes 1,1-5b, Mt 22,15-21"
"2023-10-23","Poniedziałek","
Św. Jana Kapistrana, Prezbitera
","Rz 4,20-25, Ps: Łk 1,68-75, Łk 12,13-21"
"2023-10-24","Wtorek","
Św. Antoniego Marii Clareta, Biskupa
","Rz 5,12.15b.17-19.20b-21, Ps 40,7-10.17, Łk 12,35-38"
"2023-10-25","Środa","
W Diecezji Koszalińsko-Kołobrzeskiej:: Rocznica Poświęcenia Kościoła Katedralnego W Koszalinie
","Rz 6,12-18, Ps 124,1-8, Łk 12,39-48"
"2023-10-26","Czwartek","

","Rz 6,19-23, Ps 1,1-4.6, Łk 12,49-53"
"2023-10-27","Piątek","

","Rz 7,18-24, Ps 119,66.68.76-77.93-94, Łk 12,54-59"
"2023-10-28","Sobota","Święto świętych Apostołów Szymona i Judy Tadeusza
Świętych Apostołów Szymona I Judy Tadeusza
","Syr 35,12-14.16-18, Ps 34,2-3.17-19.23, 2 Tm 4,6-9.16-18, Łk 18,9-14"
"2023-10-29","Niedziela","XXX NIEDZIELA ZWYKŁA
W Archidiecezji Częstochowskiej:: Rocznica Poświęcenia Kościoła Katedralnego W Częstochowie
","Wj 22,20-26, Ps 18, 1 Tes 1,5c-10, Mt 22,34-40"
"2023-10-30","Poniedziałek","
W Archidiecezji Katowickiej:: Rocznica Poświęcenia Kościoła Katedralnego W Katowicach
","Rz 8,12-17, Ps 68,2.4.6-7.20-21, Łk 13,10-17"
"2023-10-31","Wtorek","

","Rz 8,18-25, Ps 126,1-6, Łk 13,18-21"
"2023-11-01","Środa","Uroczystość  Wszystkich Świętych
Wszystkich Świętych
","Ap 7,2-4.9-14, Ps 24,1-6, 1 J 3,1-3, Mt 5,1-12a"
"2023-11-02","Czwartek","I msza
Wspomnienie Wszystkich Wiernych Zmarłych
","Hi 19,1.23-27a, Ps 27,1.4.7.8b.9a.13-14, 1 Kor 15,20-24a.25-28, Łk 23,44-46.50.52-53; 24,1-6a, Dn 12,1-3, Ps 42,2-3.5; Ps 43,3-4, Rz 6,3-9, J 11,32-45, Mdr 3,1-6.9, Ps 103,8,10.13-18, 2 Kor 4,14--5,1, J 14,1-6"
"2023-11-03","Piątek","
Św. Marcina De Porres, Zakonnika
","Rz 9,1-5, Ps 147B, Łk 14,1-6"
"2023-11-04","Sobota","
Św. Karola Boromeusza, Biskupa
","Rz 11,1-2a.11-12.25-29, Ps 94,12-15.17-18, Łk 14,1.7-11"
"2023-11-05","Niedziela","XXXI NIEDZIELA ZWYKŁA

","Mi 1,14b-2,2b.8-10, Ps 131, 2 Tes 2,7b-9.13, Mt 23,1-12"
"2023-11-06","Poniedziałek","

","Rz 11,29-36, Ps 69,30-31.33-34.36-37, Łk 14,12-14"
"2023-11-07","Wtorek","

","Rz 12,5-16a, Ps 131,1-3, Łk 14,15-24"
"2023-11-08","Środa","
W Diecezji Płockiej: Rocznica Poświęcenia Kościoła Katedralnego W Płocku
","Rz 13,8-10, Ps 112,1-2.4-5.9, Łk 14,25-33"
"2023-11-09","Czwartek","Święto rocznicy poświęcenia Bazyliki Laterańskiej
Rocznica Poświęcenia Bazyliki Laterańskiej
","Ez 47,1-2.8-9.12 lub 1 Kor 3,9b-11.16-17, Ps 46,2-3.5-6.8-9, J 2,13-22"
"2023-11-10","Piątek","
Św. Leona Wielkiego, Papieża I Doktora Kościoła
","Rz 15,14-21, Ps 98,1-4, Łk 16,1-8"
"2023-11-11","Sobota","
Św. Marcina Z Tours, Biskupa
","Rz 16,3-9.16.22-27, Ps 145,2-5.10-11, Łk 16,9-15"
"2023-11-12","Niedziela","XXXII NIEDZIELA ZWYKŁA
Św. Jozafata, Biskupa I Męczennika
","Mdr 6,12-16, Ps 63, 2. 3-4. 5-6. 7-8, 1 Tes 4,13-18, Mt 25,1-13"
"2023-11-13","Poniedziałek","
Świętych Benedykta, Jana, Mateusza, Izaaka I Krystyna, Pierwszych Męczenników Polski
","Mdr 1,1-7, Ps 139,1-5.7-10, Łk 17,1-6"
"2023-11-14","Wtorek","

","Mdr 2,23-3,9, Ps 34,2-3.16-19, Łk 17,7-10"
"2023-11-15","Środa","
Św. Alberta Wielkiego, Biskupa I Doktora Kościoła
","Mdr 6,1-11, Ps 82,3-4.6-7, Łk 17,11-19"
"2023-11-16","Czwartek","
Rocznica Poświęcenia Rzymskich Bazylik Świętych Apostołów Piotra I Pawła
","Mdr 7,22-8,1, Ps 119,89-91.130.135.175, Łk 17,20-25"
"2023-11-17","Piątek","
Św. Elżbiety Węgierskiej, Zakonnicy
","Mdr 13,1-9, Ps 19,2-5ab, Łk 17,26-37"
"2023-11-18","Sobota","
Bł. Karoliny Kózkowny, Dziewicy I Męczennicy
","Mdr 18,14-16.19,6-9, Ps 105,2-3.36-37.42-43, Łk 18,1-8"
"2023-11-19","Niedziela","XXXIII NIEDZIELA ZWYKŁA
Bł. Salomei, Zakonnicy
","Prz 31,10-13.19-20.30-31, Ps 128, 1-2. 3. 4-5, 1 Tes 5,1-6, Mt 25,14-30"
"2023-11-20","Poniedziałek","
Św. Rafała Kalinowskiego, Prezbitera
","1 Mch 1,10-15.41-43.54-57.62-64, Ps 119,53.61.134.150.155.158, Łk 18,35-43"
"2023-11-21","Wtorek","
Ofiarowanie Najśw. Maryi Panny
","2 Mch 6,18-31, Ps 3,2-7, Łk 19,1-10"
"2023-11-22","Środa","
Św. Cecylii, Dziewicy I Męczennicy
","2 Mch 7,1.20-31, Ps 17,1.5-6.8.15, Łk 19,11-28"
"2023-11-23","Czwartek","
Św. Klemensa I, Papieża I Męczennika
","1 Mch 2,15-29, Ps 50 1-2.5-6.14-15, Łk 19,41-44"
"2023-11-24","Piątek","
Świętych Męczenników Andrzeja Dung-Lac, Prezbitera I Towarzyszy
","1 Mch 4,36-37.52-59, 1 Krn 29,10-12, Łk 19,45-48"
"2023-11-25","Sobota","
Św. Katarzyny Aleksandryjskiej, Dziewicy I Męczennicy
","1 Mch 6,1-13, Ps 9,2-4.6.16.19, Łk 20,27-40"
"2023-11-26","Niedziela","JEZUSA CHRYSTUSA KRÓLA WSZECHŚWIATA

","Ez 34,11-12.15-17, Ps 23, 1-2a. 2b-3. 5. 6, 1 Kor 15,20-26.28, Mt 25,31-46"
"2023-11-27","Poniedziałek","

","Dn 1,1-6.8-20, Dn 3,52-56, Łk 21,1-4"
"2023-11-28","Wtorek","

","Dn 2,31-45, Dn 3,57-63a, Łk 21,5-11"
"2023-11-29","Środa","

","Dn 5,1-6.13-14.16-17.23-28, Dn 3,64-70, Łk 21,12-19"
"2023-11-30","Czwartek","Święto św. Andrzeja, Apostoła
Św. Andrzeja, Apostoła
","Iz 49,1-6 lub Rz 10,9-18, Ps 19, 2-3. 4-5ab, Mt 4,18-22"
"2023-12-01","Piątek","

","Dn 7,2-14, Dn 3,77-82, Łk 21,29-33"
"2023-12-02","Sobota","
Bł. Rafała Chylińskiego, Prezbitera
","Dn 7,15-27, Dn 3,83-87.56, Łk 21,34-36"
"2023-12-03","Niedziela","I NIEDZIELA ADWENTU
Św. Franciszka Ksawerego, Prezbitera
","Jr 33,14-16, Ps 25,4-5.8-10.14, 1 Tes 3,12-4,2, Łk 21,25-28.34-36"
"2023-12-04","Poniedziałek","
Św. Jana Damasceńskiego, Prezbitera I Doktora Kościoła
","Iz 2,1-5, Ps 122,1-2.4-9, Mt 8,5-11"
"2023-12-05","Wtorek","

","Iz 11,1-10, Ps 72,1-2.7-8.12-13.17, Łk 10,21-24"
"2023-12-06","Środa","
Św. Mikołaja, Biskupa
","Iz 25,6-10a, Ps 23, 1-2a. 2b-3. 4. 5. 6, Mt 15,29-37"
"2023-12-07","Czwartek","
Św. Ambrożego, Biskupa I Doktora Kościoła
","Iz 26-1-6, Ps 118,1.8-9.19-21.25-27, Mt 7,21.24-27"
"2023-12-08","Piątek","Uroczystość Niepokalanego Poczęcia Najświętszej Maryi Panny
Niepokalane Poczęcie Najśw. Maryi Panny
","Rdz 3,9-15.20, Ps 98,1-4, Ef 1,3-6.11-12, Łk 1,26-38"
"2023-12-09","Sobota","
Św. Jana Diego Cuahtlatoatzin
","Iz 30,19-21.23-26, Ps 147,1-2.3-4.5-6, Mt 9,35-10,1.6-8"
"2023-12-10","Niedziela","II NIEDZIELA ADWENTU
W Diecezji Warszawsko-Praskiej: Najśw. Maryi Panny Loretańskiej
","Iz 40,1-5.9-11, Ps 85,9-14, 2 P 3,8-14, Mk 1,1-8"
"2023-12-11","Poniedziałek","
Św. Damazego I, Papieża
","Iz 35,1-10, Ps 85,9-14, Łk 5,17-26"
"2023-12-12","Wtorek","
Najśw. Maryi Panny Z Guadalupe
","Iz 40,1-11, Ps 96,1-3.10-13, Mt 18,12-14"
"2023-12-13","Środa","
Św. Łucji, Dziewicy I Męczennicy
","Iz 40,25-31, Ps 103,1-4.8.10, Mt 11,28-30"
"2023-12-14","Czwartek","
Św. Jana Od Krzyża, Prezbitera I Doktora Kościoła
","Iz 41,13-20, Ps 145,1.9-13, Mt 11,11-15"
"2023-12-15","Piątek","

","Iz 48,17-19, Ps 1,1-4.6, Mt 11,16-19"
"2023-12-16","Sobota","

","Syr 48,1-4.9-11, Ps 80,2-3.15-16.18-19, Mt 17,10-13"
"2023-12-17","Niedziela","III NIEDZIELA ADWENTU

","Iz 61,1-2a.10-11, Łk 1,46-50.53-54, 1 Tes 5,16-24, J 1,6-8.19-28"
"2023-12-18","Poniedziałek","

","Jr 23,5-8, Ps 72,1-2.12-13.18-19, Mt 1,18-24"
"2023-12-19","Wtorek","

","Sdz 13,2-7.24-25a, Ps 71,3-6.16-17, Łk 1,5-25"
"2023-12-20","Środa","

","Iz 7,10-14, Ps 24,1-6, Łk 1,26-38"
"2023-12-21","Czwartek","
Św. Piotra Kanizjusza, Prezbitera I Doktora Kościoła
","Pnp 2,8-14 lub So 3,14-18a, Ps 33,2-3.11-12.20-21, Łk 1,39-45"
"2023-12-22","Piątek","

","1 Sm 1,24-28, Ps: 1 Sm 2,1.4-8, Łk 1,46-56"
"2023-12-23","Sobota","

","Ml 3,1-4.23-24, Ps 25,4-5.8-10.14, Łk 1,57-66"
"2023-12-24","Niedziela","Wigilia Narodzenia Pańskiego

","2 Sm 7,1-5.8b-12.14a.16, Ps 89, Łk 1,67-79, Iz 9,1-3.5-6, Ps 96, Tt 2,11-14, Łk 2,1-14, 2 Sm 7,1-5.8b-12.14a.16, Ps 89, 2-5.27.29, Rz 16,25-27, Łk 1,26-38"
"2023-12-25","Poniedziałek","Msza św. o świcie
Narodzenie Pańskie
","Iz 62,11-12, Ps 97,1.6.11-12, Tt 3,4-7, Łk 2,15-20, Iz 52,7-10, Ps 98, Hbr 1,1-6, J 1,1-18"
"2023-12-26","Wtorek","Święto św. Szczepana, pierwszego męczennika
Św. Szczepana, Pierwszego Męczennika
","Dz 6,8-10;7,54-60, Ps 31,3-4.6.8.16-17, Mt 10,17-22"
"2023-12-27","Środa","Święto św. Jana, Apostoła i Ewangelisty
Św. Jana, Apostoła I Ewangelisty
","1 J 1,1-4, Ps 97,1-2.5-6.11-12, J 20,2-8"
"2023-12-28","Czwartek","Święto świętych Młodzianków
Św. Młodzianków, Męczenników
","1 J 1,5-2,2, Ps 124,2-5.7-8, Mt 2,13-18"
"2023-12-29","Piątek","Oktawa Narodzenia Pańskiego
Św. Tomasza Becketa, Biskupa I Męczennika
","1 J 2,3-11, Ps 96,1-3.5b-6, Łk 2,22-35"
"2023-12-30","Sobota","Oktawa Narodzenia Pańskiego

","1 J 2,12-17, Ps 96,7-10, Łk 2,36-40"
"2023-12-31","Niedziela","NIEDZIELA ŚWIĘTEJ RODZINY
Św. Sylwestra I, Papieża
","Syr 3,2-6.12-14, Ps 128, Kol 3,12-21, Łk 2,41-52"
"2024-01-01","Niedziela","NIEDZIELA ŚWIĘTEJ RODZINY
Św. Sylwestra I, Papieża
","Syr 3,2-6.12-14, Ps 128, Kol 3,12-21, Łk 2,41-52"
